country,year,taxburden,gdppc,taxrev,category,taxrpc
Nicaragua,2014,78.59999999999989,4941.6997020079,15.3162663787317,Spanish,75688.391
Nicaragua,2015,78.40000000000001,5293.87046224287,15.5895883603149,Spanish,82529.258
Nicaragua,2016,78,5694.05428740789,16.1664462040546,Spanish,92052.625
Nicaragua,2017,77.2039,6004.01408757341,16.573831626432,Spanish,99509.516
Nicaragua,2018,77.2,5867.24389067727,15.6994164536848,Spanish,92112.305
Nicaragua,2019,76.90000000000001,5682.21597760341,17.5430985982931,Spanish,99683.672
Paraguay,2013,95.90000000000001,11062.5587335491,8.992141631255381,Spanish,99476.094
Paraguay,2014,96.2,11454.4288765968,9.745176379653159,Spanish,111625.43
Paraguay,2015,96,11486.5231905557,9.736698600348619,Spanish,111840.81
Paraguay,2016,96.3,12041.7235427806,9.559063336604391,Spanish,115107.6
Paraguay,2017,96.17749999999999,12590.548443655,9.95647441372393,Spanish,125357.48
Paraguay,2018,96.09999999999989,13135.6988678799,10.0750585766838,Spanish,132342.94
Paraguay,2019,96.3,13149.0385702748,10.000606491674,Spanish,131498.36
Peru,2013,79.90000000000001,11295.9632644083,16.4330066930272,Spanish,185626.64
Peru,2014,79.09999999999989,11510.2788763872,16.7209266785318,Spanish,192462.53
Peru,2015,78.59999999999989,11572.3207931902,14.9196513179116,Spanish,172654.98
Peru,2016,78.5,12013.3773897006,13.7875476429229,Spanish,165635.02
Peru,2017,80.3,12506.5293750586,13.1743416510927,Spanish,164765.3
Peru,2018,80.59999999999989,13088.2958384558,14.2878152454973,Spanish,187003.16
Peru,2019,80.59999999999989,13397.2739160483,14.5160313046509,Spanish,194475.25
Russian Federation,2013,86.90000000000001,26073.8745307451,12.933492451261,Russian,337226.25
Russian Federation,2014,85.59999999999989,25761.6480209933,13.2553613046452,Russian,341479.94
Russian Federation,2015,86.09999999999989,24085.3241847947,10.6420948088217,Russian,256318.3
Russian Federation,2016,82.2,24128.0864065399,9.18312209969854,Russian,221571.16
Russian Federation,2017,81.84910000000001,25926.4438539743,10.2884056740183,Russian,266741.78
Russian Federation,2018,85.8,28681.7844582961,11.4687730024336,Russian,328944.88
Russian Federation,2019,89.40000000000001,29188.854156647,10.975123926599,Russian,320351.28
Singapore,2013,91.09999999999989,83001.78780137069,13.2712500808714,British,1101537.5
Singapore,2014,91.2,84423.19134326751,13.5565571344028,British,1144487.9
Singapore,2015,91.2,86974.74762306271,13.1397745298612,British,1142828.6
Singapore,2016,91.2,89417.34902083239,13.321225219151,British,1191148.6
Singapore,2017,90.4744,95350.43567480209,13.9870543249941,British,1333671.8
Singapore,2018,90.40000000000001,100581.158024992,13.0450907304132,British,1312090.4
Singapore,2019,90.40000000000001,102573.401768252,13.2394529857669,British,1358015.8
South Africa,2013,70.5,13606.9428955207,23.8313913802457,British,324272.38
South Africa,2014,68.7,13602.102642918,24.4319342176034,British,332325.69
South Africa,2015,69.5,13701.9453895081,25.0486927031144,British,343215.81
South Africa,2016,70.09999999999989,13748.4614158257,24.8283559884696,British,341351.69
South Africa,2017,70.2,13860.2701664709,24.0357416450334,British,333141.88
South Africa,2018,62.5,14209.0938333315,24.1188765435671,British,342707.38
South Africa,2019,62.1,14289.7600030669,24.2186201034917,British,346078.28
Spain,2017,62.5,39528.9253872668,13.7223107291971,Spanish,542428.19
Spain,2018,62,40686.9854677426,14.2328459625068,Spanish,579091.63
Spain,2019,62.3,42172.1317053122,13.7640984429935,Spanish,580461.38
Sri Lanka,2013,84.7,10852.0640424766,10.4866231718808,British,113801.51
Sri Lanka,2014,84.90000000000001,11256.8560497537,10.1375062355162,British,114116.45
Sri Lanka,2015,85,11557.4870517689,12.3799519124394,British,143081.14
Sri Lanka,2016,85.09999999999989,12224.2157651465,12.201389606995,British,149152.42
Sri Lanka,2017,85.2551,12584.1047924776,12.5312519753631,British,157694.59
Sri Lanka,2018,84.90000000000001,13169.0947047054,11.9818702025641,British,157790.39
Sri Lanka,2019,84.90000000000001,13622.8604484357,11.5561874569627,British,157428.33
Ukraine,2013,78.2,10691.7646844701,16.8986843392832,Russian,180676.75
Ukraine,2014,79.09999999999989,10743.5863638157,17.294347838416,Russian,185803.31
Ukraine,2015,78.7,10164.3273340852,20.4513654211322,Russian,207874.38
Ukraine,2016,78.59999999999989,11148.196546631,19.6301198096561,Russian,218840.44
Ukraine,2017,78.6224,11871.1236240918,20.0523676996082,Russian,238044.14
Ukraine,2018,80.2,12634.2355540514,20.1425525138036,Russian,254485.75
Ukraine,2019,81.8,13350.4823150166,19.1961400966208,Russian,256277.73
United Kingdom,2013,57,40218.7472562217,24.9168086417516,British,1002122.8
United Kingdom,2014,56.6,41580.6024876318,24.7027708694665,British,1027156.1
United Kingdom,2015,62.9,42912.8750936201,24.8021405406746,British,1064331.1
United Kingdom,2016,64.90000000000001,44635.2995586517,25.1396135548373,British,1122114.1
United Kingdom,2017,65.1224,46372.38660351,25.3097189843516,British,1173672.1
United Kingdom,2018,65.2,47863.2226960442,25.2363432334735,British,1207892.8
United Kingdom,2019,64.7,49333.7124743002,24.9067633640656,British,1228743.1
Uruguay,2013,84.2,19130.0613970595,19.041385474602,Spanish,364262.88
