country,year,cpi,gdppc,category
Paraguay,2020,28,13064.30933,Spanish
Peru,2012,38,10767.67733,Spanish
Peru,2013,38,11295.96326,Spanish
Peru,2014,38,11510.27888,Spanish
Peru,2015,36,11572.32079,Spanish
Peru,2016,35,12013.37739,Spanish
Peru,2017,37,12506.52938,Spanish
Peru,2018,35,13088.29584,Spanish
Peru,2019,36,13397.27392,Spanish
Peru,2020,38,11874.09814,Spanish
Russian Federation,2012,28,24303.47341,Russian
Russian Federation,2013,28,26073.87453,Russian
Russian Federation,2014,27,25761.64802,Russian
Russian Federation,2015,29,24085.32418,Russian
Russian Federation,2016,29,24128.08641,Russian
Russian Federation,2017,29,25926.44385,Russian
Russian Federation,2018,28,28681.78446,Russian
Russian Federation,2019,28,29188.85416,Russian
Russian Federation,2020,30,28213.44784,Russian
Singapore,2012,87,82064.96119,British
Singapore,2013,86,83001.78780000001,British
Singapore,2014,84,84423.19134,British
Singapore,2015,85,86974.74761999999,British
Singapore,2016,84,89417.34901999999,British
Singapore,2017,84,95350.43567000001,British
Singapore,2018,85,100581.158,British
Singapore,2019,85,102573.4018,British
Singapore,2020,85,98483.342,British
South Africa,2012,43,13215.70868,British
South Africa,2013,42,13606.9429,British
South Africa,2014,44,13602.10264,British
South Africa,2015,44,13701.94539,British
South Africa,2016,45,13748.46142,British
South Africa,2017,43,13860.27017,British
South Africa,2018,43,14209.09383,British
South Africa,2019,44,14289.76,British
South Africa,2020,44,13355.59871,British
Spain,2012,65,31720.12,Spanish
Spain,2013,59,32434.0032,Spanish
Spain,2014,60,33525.74063,Spanish
Spain,2015,58,34903.12748,Spanish
Spain,2016,58,37286.21343,Spanish
Spain,2017,57,39528.92539,Spanish
Spain,2018,58,40686.98547,Spanish
Spain,2019,62,42172.13171,Spanish
Spain,2020,62,38343.15522,Spanish
Sri Lanka,2012,40,10315.18025,British
Sri Lanka,2013,37,10852.06404,British
Sri Lanka,2014,38,11256.85605,British
Sri Lanka,2015,37,11557.48705,British
Sri Lanka,2016,36,12224.21577,British
Sri Lanka,2017,38,12584.10479,British
Sri Lanka,2018,38,13169.0947,British
Sri Lanka,2019,38,13622.86045,British
Sri Lanka,2020,38,13219.68883,British
Tajikistan,2012,22,2750.355063,Russian
Tajikistan,2013,22,3027.814126,Russian
Tajikistan,2014,23,3303.098197,Russian
Tajikistan,2015,26,3150.427114,Russian
Tajikistan,2016,25,3114.895558,Russian
Tajikistan,2017,21,3252.932655,Russian
Tajikistan,2018,25,3497.32358,Russian
Tajikistan,2019,25,3732.869068,Russian
Tajikistan,2020,25,3856.76065,Russian
Ukraine,2012,26,9343.330739999999,Russian
Ukraine,2013,25,10691.76468,Russian
Ukraine,2014,26,10743.58636,Russian
Ukraine,2015,27,10164.32733,Russian
Ukraine,2016,29,11148.19655,Russian
Ukraine,2017,30,11871.12362,Russian
Ukraine,2018,32,12634.23555,Russian
Ukraine,2019,30,13350.48232,Russian
Ukraine,2020,33,13056.70207,Russian
United Kingdom,2012,74,38514.02617,British
United Kingdom,2013,76,40218.74726,British
United Kingdom,2014,78,41580.60249,British
United Kingdom,2015,81,42912.87509,British
United Kingdom,2016,81,44635.29956,British
United Kingdom,2017,82,46372.3866,British
United Kingdom,2018,80,47863.2227,British
United Kingdom,2019,77,49333.71247,British
United Kingdom,2020,77,45852.68889,British
Uruguay,2012,72,18192.3297,Spanish
Uruguay,2013,73,19130.0614,Spanish
Uruguay,2014,73,20093.62407,Spanish
Uruguay,2015,74,20217.56044,Spanish
Uruguay,2016,71,22454.39483,Spanish
Uruguay,2017,70,23009.87423,Spanish
Uruguay,2018,70,23588.15139,Spanish
