,Unnamed: 0,Code,Year,Value,Country
75,28,DNK,1992,64.6975887252796,Denmark
76,29,DNK,1991,63.1214401453403,Denmark
77,30,DNK,1990,62.056287311664896,Denmark
78,31,DNK,1989,4.82748823933612,Denmark
79,32,DNK,1988,4.43291128543864,Denmark
80,33,DNK,1987,3.45130445408444,Denmark
81,34,DNK,1986,3.4653247868368,Denmark
82,35,DNK,1985,3.41224647261884,Denmark
83,0,USA,2020,71.11802146238291,United States
84,1,USA,2019,64.9466377309385,United States
85,2,USA,2018,65.0170373284153,United States
86,3,USA,2017,65.6793406744474,United States
87,4,USA,2016,65.91724718464029,United States
88,5,USA,2015,65.8097225485525,United States
89,6,USA,2014,64.5479410862567,United States
90,7,USA,2013,63.93762278069629,United States
91,8,USA,2012,62.377335069026614,United States
92,9,USA,2011,62.12998349066221,United States
93,10,USA,2010,62.7162191192266,United States
94,11,USA,2009,61.036877906815704,United States
95,12,USA,2008,56.641397993879096,United States
96,13,USA,2007,58.9376609811998,United States
97,14,USA,2006,59.1506437490134,United States
98,15,USA,2005,58.8642957901072,United States
99,16,USA,2004,59.5105667494261,United States
100,17,USA,2003,60.181354240045394,United States
101,18,USA,2002,60.38934803842261,United States
102,19,USA,2001,59.2357759370827,United States
103,20,USA,2000,64.8451274460721,United States
104,21,USA,1999,64.144018076815,United States
105,22,USA,1998,63.22347172124381,United States
106,23,USA,1997,62.5411866567258,United States
107,24,USA,1996,61.85157207781749,United States
108,25,USA,1995,61.428471252717294,United States
109,26,USA,1994,60.5831540625517,United States
110,27,USA,1993,59.02051152879989,United States
111,28,USA,1992,56.4574063530222,United States
112,29,USA,1991,51.2648571935427,United States
113,30,USA,1990,51.424637714979106,United States
114,31,USA,1989,2.92350957086176,United States
115,32,USA,1988,2.86858450474011,United States
116,33,USA,1987,3.600990585582549,United States
117,34,USA,1986,3.25121797894075,United States
118,1,FRA,2019,57.0852173419539,France
119,2,FRA,2018,56.353478656721,France
120,3,FRA,2017,55.393953108119895,France
121,4,FRA,2016,55.668365515487785,France
122,5,FRA,2015,55.492379185855704,France
123,6,FRA,2014,54.7688152207524,France
124,7,FRA,2013,53.648488679574896,France
125,8,FRA,2012,53.0268906780206,France
126,9,FRA,2011,52.5238515903946,France
127,10,FRA,2010,51.0875769047719,France
128,11,FRA,2009,52.3180543680188,France
129,12,FRA,2008,51.4379788787589,France
130,13,FRA,2007,51.422914667195215,France
131,14,FRA,2006,51.084747202009204,France
132,15,FRA,2005,50.5227745571721,France
133,16,FRA,2004,50.44644250993879,France
134,17,FRA,2003,50.6612081642535,France
135,18,FRA,2002,50.2310412746679,France
136,19,FRA,2001,50.2396940860769,France
137,20,FRA,2000,49.991997455368605,France
138,21,FRA,1999,49.693074315646,France
139,22,FRA,1998,49.69231073536778,France
140,23,FRA,1997,48.642866775918506,France
141,24,FRA,1996,48.891519033588494,France
142,25,FRA,1995,48.6030452020154,France
143,26,FRA,1994,67.39655070928251,France
144,27,FRA,1993,66.9066943308719,France
145,28,FRA,1992,67.1989095511634,France
146,29,FRA,1991,67.6824183460736,France
147,30,FRA,1990,67.4332206412304,France
148,31,FRA,1989,4.04382784171527,France
149,32,FRA,1988,4.1352393316424605,France
150,33,FRA,1987,5.14875923235246,France
151,34,FRA,1986,5.27402919305978,France
152,35,FRA,1985,5.1238382560459295,France
153,36,FRA,1984,5.9221924712553085,France
154,37,FRA,1983,5.11121355307134,France
155,38,FRA,1982,4.93191738875499,France
156,39,FRA,1981,4.93694247923717,France
157,40,FRA,1980,4.71034610401628,France
