xFitted,yFitted
26.38138138,9327.958971
26.44544545,9363.844442
26.50950951,9399.659276
26.57357357,9435.404102
26.63763764,9471.079547
26.7017017,9506.686242
26.76576577,9542.224815
26.82982983,9577.695894
26.89389389,9613.100108
26.95795796,9648.438086
27.02202202,9683.710458
27.08608609,9718.91785
27.15015015,9754.060893
27.21421421,9789.140215
27.27827828,9824.156445
27.34234234,9859.110211
27.40640641,9894.002143
27.47047047,9928.832869
27.53453453,9963.603017
27.5985986,9998.313217
27.66266266,10032.9641
27.72672673,10067.55629
27.79079079,10102.09041
27.85485485,10136.56711
27.91891892,10170.987
27.98298298,10205.35071
28.04704705,10239.65888
28.11111111,10273.91212
28.17517518,10308.11108
28.23923924,10342.25638
28.3033033,10376.34864
28.36736737,10410.3885
28.43143143,10444.37659
28.4954955,10478.31353
28.55955956,10512.19995
28.62362362,10546.03649
28.68768769,10579.82376
28.75175175,10613.56241
28.81581582,10647.25305
28.87987988,10680.89632
28.94394394,10714.49284
29.00800801,10748.04325
29.07207207,10781.54817
29.13613614,10815.00823
29.2002002,10848.42406
29.26426426,10881.7963
29.32832833,10915.12556
29.39239239,10948.41247
29.45645646,10981.65767
29.52052052,11014.86179
29.58458458,11048.02545
29.64864865,11081.14928
29.71271271,11114.23391
29.77677678,11147.27997
29.84084084,11180.28808
29.9049049,11213.25889
29.96896897,11246.19301
30.03303303,11279.09107
30.0970971,11311.95371
30.16116116,11344.78154
30.22522523,11377.57521
30.28928929,11410.33534
30.35335335,11443.06255
30.41741742,11475.75749
30.48148148,11508.42076
30.54554555,11541.05301
30.60960961,11573.65487
30.67367367,11606.22695
30.73773774,11638.7699
30.8018018,11671.28433
30.86586587,11703.77089
30.92992993,11736.23018
30.99399399,11768.66286
31.05805806,11801.06954
31.12212212,11833.45085
31.18618619,11865.80742
31.25025025,11898.13989
31.31431431,11930.44887
31.37837838,11962.735
31.44244244,11994.99891
31.50650651,12027.24122
31.57057057,12059.46257
31.63463463,12091.66358
31.6986987,12123.84488
31.76276276,12156.0071
31.82682683,12188.15087
31.89089089,12220.27682
31.95495495,12252.38557
32.01901902,12284.47776
32.08308308,12316.55402
32.14714715,12348.61497
32.21121121,12380.66124
32.27527528,12412.69346
32.33933934,12444.71225
32.4034034,12476.71826
32.46746747,12508.7121
32.53153153,12540.69441
32.5955956,12572.66582
32.65965966,12604.62694
32.72372372,12636.57842
32.78778779,12668.52088
32.85185185,12700.45494
32.91591592,12732.38125
32.97997998,12764.30042
33.04404404,12796.21309
33.10810811,12828.11988
33.17217217,12860.02142
33.23623624,12891.91835
33.3003003,12923.81128
33.36436436,12955.70086
33.42842843,12987.5877
33.49249249,13019.47244
33.55655656,13051.35571
33.62062062,13083.23812
33.68468468,13115.12033
33.74874875,13147.00294
33.81281281,13178.88659
33.87687688,13210.77192
33.94094094,13242.65954
34.00500501,13274.55009
34.06906907,13306.44419
34.13313313,13338.34248
34.1971972,13370.24558
34.26126126,13402.15412
34.32532533,13434.06873
34.38938939,13465.99004
34.45345345,13497.91868
34.51751752,13529.85528
34.58158158,13561.80046
34.64564565,13593.75486
34.70970971,13625.7191
34.77377377,13657.69381
34.83783784,13689.67962
34.9019019,13721.67716
34.96596597,13753.68706
35.03003003,13785.70994
35.09409409,13817.74644
35.15815816,13849.79719
35.22222222,13881.8628
35.28628629,13913.94392
35.35035035,13946.04117
35.41441441,13978.15518
35.47847848,14010.28658
35.54254254,14042.43599
35.60660661,14074.60405
35.67067067,14106.79138
35.73473473,14138.99862
35.7987988,14171.22639
35.86286286,14203.47531
35.92692693,14235.74603
35.99099099,14268.03917
36.05505506,14300.35535
36.11911912,14332.69521
36.18318318,14365.05937
36.24724725,14397.44846
36.31131131,14429.86312
36.37537538,14462.30397
36.43943944,14494.77163
36.5035035,14527.26675
36.56756757,14559.78994
36.63163163,14592.34183
36.6956957,14624.92306
36.75975976,14657.53426
36.82382382,14690.17604
36.88788789,14722.84905
36.95195195,14755.5539
37.01601602,14788.29124
37.08008008,14821.06167
37.14414414,14853.86585
37.20820821,14886.70439
37.27227227,14919.57792
37.33633634,14952.48707
37.4004004,14985.43248
37.46446446,15018.41476
37.52852853,15051.43455
37.59259259,15084.49248
37.65665666,15117.58918
37.72072072,15150.72526
37.78478478,15183.90138
37.84884885,15217.11814
37.91291291,15250.37618
37.97697698,15283.67613
38.04104104,15317.01863
38.10510511,15350.40428
38.16916917,15383.83374
38.23323323,15417.30761
38.2972973,15450.82654
38.36136136,15484.39115
38.42542543,15518.00208
38.48948949,15551.65994
38.55355355,15585.36537
38.61761762,15619.11899
38.68168168,15652.92145
38.74574575,15686.77335
38.80980981,15720.67534
38.87387387,15754.62804
38.93793794,15788.63208
39.002002,15822.68809
39.06606607,15856.7967
39.13013013,15890.95854
39.19419419,15925.17423
39.25825826,15959.44441
39.32232232,15993.76969
39.38638639,16028.15072
39.45045045,16062.58812
39.51451451,16097.08252
39.57857858,16131.63455
39.64264264,16166.24484
39.70670671,16200.91401
39.77077077,16235.64269
39.83483483,16270.43152
39.8988989,16305.28112
39.96296296,16340.19212
40.02702703,16375.16515
40.09109109,16410.20083
40.15515516,16445.29981
40.21921922,16480.4627
40.28328328,16515.69013
40.34734735,16550.98274
40.41141141,16586.34115
40.47547548,16621.76599
40.53953954,16657.25789
40.6036036,16692.81747
