country,year,intserver,category,passenger
Spain,2014,625.848709153152,Spanish,25072
Spain,2015,889.5715243409639,Spanish,26142
Spain,2016,2762.55977801596,Spanish,26670
Spain,2017,7247.03903373442,Spanish,27487
Ukraine,2017,3948.26051136113,Russian,28075
Spain,2018,11302.764658321,Spanish,28434
Ukraine,2018,6027.8086503321,Russian,28685
Ukraine,2015,141.803492383272,Russian,35367
Ukraine,2014,74.7037555424521,Russian,35865
Ukraine,2016,1905.46879431831,Russian,36839
Italy,2012,303.293346187722,Spanish,46759
Italy,2011,190.402575140096,Spanish,46845
Italy,2010,127.063566214432,Spanish,47172
Italy,2013,374.987872287568,Spanish,48739
Ukraine,2013,54.0342717094667,Russian,48981
Ukraine,2012,40.9270283367251,Russian,49329
Italy,2014,493.065044183879,Spanish,49957
Ukraine,2010,12.3608205936765,Russian,50248
Ukraine,2011,20.9600095707167,Russian,50593
Italy,2016,1305.10086363782,Spanish,52178
Italy,2015,628.01966890421,Spanish,52207
Italy,2017,7744.06154123773,Spanish,53231
Italy,2018,12257.9679903399,Spanish,55493
United Kingdom,2010,1315.40196727977,British,63505.009755806
United Kingdom,2011,1811.95314929256,British,66801.444358355
United Kingdom,2012,2500.54101073285,British,69686.077677926
United Kingdom,2013,2832.49480303329,British,71091.617132869
United Kingdom,2014,3251.04534207127,British,74261.865978851
United Kingdom,2015,4386.26511775814,British,76787.835241515
United Kingdom,2016,8696.420463377561,British,78695.91249783
United Kingdom,2017,21195.885324026,British,80260.893253627
United Kingdom,2018,27261.8209740232,British,80526.378370105
Russian Federation,2015,321.4018458555,Russian,120644
Russian Federation,2017,3541.09721465756,Russian,123096
Russian Federation,2016,1163.94769306762,Russian,124620
Russian Federation,2018,5190.62232227569,Russian,129542
Russian Federation,2014,120.359060489272,Russian,130027
Russian Federation,2013,79.7313050837696,Russian,138517
Russian Federation,2010,17.0949184073965,Russian,138885
Russian Federation,2011,28.86103661289,Russian,139742
Russian Federation,2012,57.5761236835974,Russian,144612
India,2010,1.66979782385288,British,978508
India,2011,2.27307639412492,British,1046522
India,2012,4.50631144825034,British,1098103
India,2013,6.15220243237488,British,1140412
India,2015,11.6879533201661,British,1143039
India,2014,8.444731023808719,British,1147190
India,2016,38.2954619881319,British,1149835
India,2017,123.099916712606,British,1161333
