,year,yearCode,country,countryCode,gini,govExpEdu,gdpGrowth,gdpPC
805,2003,YR2003,Peru,PER,53.1,2.9377999310000003,4.1650231369999995,6861.830618999999
806,2003,YR2003,Philippines,PHL,46.6,2.9351799489999997,5.086911135,4697.48565
808,2003,YR2003,Portugal,PRT,38.8,5.281529903,-0.930521193,30422.602030000002
812,2003,YR2003,Russian Federation,RUS,40.0,3.678539991,7.299952345,17434.80814
821,2003,YR2003,Sierra Leone,SLE,40.2,3.260610104,9.313120969,1213.020006
830,2003,YR2003,Spain,ESP,31.8,4.1734299660000005,2.9818948360000004,36750.44185
838,2003,YR2003,Sweden,SWE,25.3,6.791429996000001,2.30981059,42678.284139999996
841,2003,YR2003,Tajikistan,TJK,32.7,2.4207899569999998,10.99999908,1696.8248620000002
849,2003,YR2003,Turkey,TUR,42.2,2.851310015,5.7632060670000005,15670.417630000002
854,2003,YR2003,Ukraine,UKR,28.7,5.607860088,9.515923065,9349.134688
856,2003,YR2003,United Kingdom,GBR,35.1,4.816520214,3.321881725,40992.07204
858,2003,YR2003,Uruguay,URY,45.0,2.068209887,0.805283915,12937.426870000001
875,2004,YR2004,Argentina,ARG,48.4,3.486520052,9.029573301000001,18032.61143
876,2004,YR2004,Armenia,ARM,37.5,2.486730099,10.5,6472.141999
879,2004,YR2004,Austria,AUT,29.8,5.302430153,2.735120222,48563.58866
880,2004,YR2004,Azerbaijan,AZE,26.6,3.447700024,9.253801326,5701.9032640000005
885,2004,YR2004,Belarus,BLR,26.5,5.712259769,11.44974311,10839.95627
894,2004,YR2004,Brazil,BRA,56.5,3.974479914,5.759964639,12316.374259999999
910,2004,YR2004,Colombia,COL,55.0,4.079349995,5.333022067,9716.499107
914,2004,YR2004,Costa Rica,CRI,48.3,4.890629768,4.424599597,13802.728680000002
919,2004,YR2004,Cyprus,CYP,30.1,6.117720127,5.026343926,36576.87309
920,2004,YR2004,Czech Republic,CZE,27.5,3.9923899169999997,4.814261001,28542.25482
921,2004,YR2004,Denmark,DNK,24.9,8.207630157,2.668219267,50446.5416
926,2004,YR2004,"Egypt, Arab Rep.",EGY,31.8,4.6707201,4.092071612,8184.065807999999
930,2004,YR2004,Estonia,EST,33.6,4.877349853999999,6.80400699,23691.58871
935,2004,YR2004,Finland,FIN,27.9,6.157579899,3.99209129,43724.96612
940,2004,YR2004,Georgia,GEO,36.2,2.914200068,5.794496346,6632.814265
944,2004,YR2004,Greece,GRC,33.6,3.667190075,5.060992425,34627.18067
955,2004,YR2004,Hungary,HUN,29.9,5.335859776,4.822853473,23317.86912
956,2004,YR2004,Iceland,ISL,28.0,7.161180019,7.802399508,46051.74389
957,2004,YR2004,India,IND,34.4,3.3525400160000003,7.922936612999999,3054.918876
958,2004,YR2004,Indonesia,IDN,32.7,2.748470068,5.030873945,6423.720714
