,xFitted,yFitted,HealthExpPC,Dependency
94,5.510211094854855,224.51402592047998,,
95,5.555139991523523,219.0133438223429,2075.362793,19.9291768
96,5.600068888192192,213.71231647725972,2677.774902,35.59443453
97,5.644997784860861,208.60818734746,363.0863037,13.04111729
98,5.6899266815295295,203.69822726093344,,
99,5.734855578198198,198.97973424475367,362.8049622,6.213232452000001
100,5.779784474866867,194.45003335885667,476.81665039999996,11.52318178
101,5.824713371535536,190.106476530274,75.50148773,4.041536075
102,5.869642268204204,185.94644238782257,212.25886540000002,6.532749347
103,5.914571164872873,181.96733609724424,,
104,5.959500061541542,178.16658919679912,1878.604858,19.8580482
105,6.004428958210211,174.54165943330736,,
106,6.049357854878879,171.09003059865836,3230.298096,3.3598330539999997
107,6.094286751547546,167.80921236676386,111.3349838,7.117003972999999
