Country Name,International migrant stock (% of population),Government expenditure on education
Guinea-Bissau,1.210903718,2.299999952
Guyana,2.005514382,3.895699978
Haiti,0.3690482,1.854009986
Honduras,0.347613516,6.412970066
"Hong Kong SAR, China",38.94993992,3.262120008
Hungary,4.562465252,4.498990059
Iceland,11.3901495,7.457970142
India,0.399752709,3.285729885
Indonesia,0.127675543,3.583600044
"Iran, Islamic Rep.",3.446397535,2.797389984
Iraq,0.971576098,..
Ireland,15.91693657,3.758009911
Isle of Man,51.51629073,..
Israel,24.94690004,5.861249924
Italy,9.680767742,4.073629856
Jamaica,0.829367047,5.455210209
Japan,1.614775057,..
Jordan,40.9771116,..
Kazakhstan,20.12330509,2.788579941
Kenya,2.354722885,5.271339893
Kiribati,2.80458625,9.862959862
"Korea, Dem. People's Rep.",0.192635219,..
"Korea, Rep.",2.639159354,..
Kosovo,..,..
Kuwait,73.63955073,4.771480083
Kyrgyz Republic,3.440796423,5.985509872
Lao PDR,0.327020359,..
Latvia,13.35324026,5.284939766
Lebanon,34.1456803,2.099999905
Lesotho,0.307818842,9
Liberia,2.526491982,2.170830011
Libya,12.28244987,..
Liechtenstein,62.59625376,..
Lithuania,4.726089623,4.227190018
Luxembourg,43.96413394,3.918200016
"Macao SAR, China",58.32190277,3.001650095
Madagascar,0.132347777,2.210119963
Malawi,1.249811795,5.608660221
Malaysia,8.289348916,4.894869804
Maldives,25.87218175,3.887490034
Mali,2.063359738,3.801520109
Malta,9.898488069,5.023980141
Marshall Islands,6.197044893,..
Mauritania,3.396676733,..
Mauritius,2.24510922,4.886670113
Mexico,0.939364727,5.229420185
"Micronesia, Fed. Sts.",2.638330461,12.40791988
Moldova,3.512106598,5.805689812
Monaco,55.76846625,..
Mongolia,0.595444478,4.176990032
Montenegro,13.19007768,..
Morocco,0.257467738,..
Mozambique,0.796801385,6.010829926
Myanmar,0.136014603,2.099999905
Namibia,3.818401435,9.913700104
Nauru,31.0898063,..
Nepal,1.817645553,3.25902009
Netherlands,11.69568274,5.34815979
New Caledonia,24.43390418,..
New Zealand,22.95970035,6.325059891
Nicaragua,0.661982706,4.078430176
Niger,0.951072208,4.485899925
Nigeria,0.658124088,..
North Macedonia,6.289774173,..
Northern Mariana Islands,39.30996913,..
Norway,14.23561116,7.569330215
Oman,41.08587362,..
Pakistan,1.920846061,2.650019884
Palau,26.60278991,..
Panama,4.701027527,2.836289883
Papua New Guinea,0.338376609,..
Paraguay,2.356666686,3.338150024
Peru,0.289645141,3.969330072
Philippines,0.210390539,3.329999924
Poland,1.604180837,4.809939861
Portugal,8.089593589,4.885540009
Puerto Rico,7.465496392,..
Qatar,75.49762789,..
Romania,1.163134803,3.109630108
Russian Federation,8.11621786,3.834029913
Rwanda,3.803080984,3.649159908
