Time,Time Code,Country,Country Code,GDPGrowth
1964,YR1964,United States,USA,5.8
1965,YR1965,United States,USA,6.4
1966,YR1966,United States,USA,6.5
1967,YR1967,United States,USA,2.5
1968,YR1968,United States,USA,4.8
1969,YR1969,United States,USA,3.1
1970,YR1970,United States,USA,-0.346648734
1971,YR1971,United States,USA,3.293351653
1972,YR1972,United States,USA,5.258907331
1973,YR1973,United States,USA,5.645722571
1974,YR1974,United States,USA,-0.540551663
1975,YR1975,United States,USA,-0.205456064
1976,YR1976,United States,USA,5.388139293
1977,YR1977,United States,USA,4.624153064
1978,YR1978,United States,USA,5.53530496
1979,YR1979,United States,USA,3.166145311
1980,YR1980,United States,USA,-0.256749677
1981,YR1981,United States,USA,2.537719298
1982,YR1982,United States,USA,-1.802887407
1983,YR1983,United States,USA,4.583913364
1984,YR1984,United States,USA,7.236633158
1985,YR1985,United States,USA,4.169656215
1986,YR1986,United States,USA,3.462645977
1987,YR1987,United States,USA,3.459251985
1988,YR1988,United States,USA,4.177061284
1989,YR1989,United States,USA,3.672648159
1990,YR1990,United States,USA,1.885964958
1991,YR1991,United States,USA,-0.108264787
1992,YR1992,United States,USA,3.522440523
1993,YR1993,United States,USA,2.751781042
1994,YR1994,United States,USA,4.028793263
1995,YR1995,United States,USA,2.684217275
1996,YR1996,United States,USA,3.772565502
1997,YR1997,United States,USA,4.381775174
1998,YR1998,United States,USA,4.481407561
1999,YR1999,United States,USA,4.753235983
2000,YR2000,United States,USA,4.127484017
2001,YR2001,United States,USA,0.998340792
2002,YR2002,United States,USA,1.741695251
2003,YR2003,United States,USA,2.861210768
2004,YR2004,United States,USA,3.798891125
2005,YR2005,United States,USA,3.513213799
2006,YR2006,United States,USA,2.854972294
2007,YR2007,United States,USA,1.876171454
2008,YR2008,United States,USA,-0.136579803
2009,YR2009,United States,USA,-2.536757067
2010,YR2010,United States,USA,2.56376656
2011,YR2011,United States,USA,1.550835505
2012,YR2012,United States,USA,2.249545852
2013,YR2013,United States,USA,1.842081071
2014,YR2014,United States,USA,2.525973446
2015,YR2015,United States,USA,3.07551465
2016,YR2016,United States,USA,1.711426774
2017,YR2017,United States,USA,2.332679395
2018,YR2018,United States,USA,2.996464352
2019,YR2019,United States,USA,2.161176515
2020,YR2020,United States,USA,-3.486140408
,,,,
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/28/2021,,,,
